Release,Filename,LOC,NR,nAuth,locTouched,locAdded,max_locAdded,avg_locAdded,churn,max_churn,avg_churn,chgSetSize,max_chgSetSize,avg_chgSetSize,Buggy
1,zookeeper-server/src/main/java/org/apache/zookeeper/jmx/CommonNames.java,27,7,2,43,36,27,9,191,29,27.0,0,0,0,N
1,zookeeper-server/src/main/java/org/apache/zookeeper/jmx/MBeanRegistry.java,167,8,3,189,182,173,46,1388,175,174.0,0,0,0,N
1,zookeeper-server/src/main/java/org/apache/zookeeper/jmx/ZKMBeanInfo.java,34,7,2,48,42,34,14,240,36,34.0,0,0,0,N
1,zookeeper-server/src/main/java/org/apache/zookeeper/server/ConnectionBean.java,105,9,3,138,125,109,18,988,112,110.0,0,0,0,N
1,zookeeper-server/src/main/java/org/apache/zookeeper/server/ConnectionMXBean.java,66,7,2,80,74,66,25,464,68,66.0,0,0,0,N
1,src/java/jmx/org/apache/zookeeper/jmx/server/DataTreeBean.java,76,9,2,122,105,89,9,800,91,89.0,399,159,80,N
1,zookeeper-server/src/main/java/org/apache/zookeeper/server/DataTreeMXBean.java,44,7,2,58,52,44,17,310,46,44.0,0,0,0,N
1,zookeeper-server/src/main/java/org/apache/zookeeper/server/ZooKeeperServerBean.java,108,8,3,143,130,95,12,784,117,98.0,0,0,0,N
1,zookeeper-server/src/main/java/org/apache/zookeeper/server/ZooKeeperServerMXBean.java,72,7,2,86,80,72,27,506,74,72.0,0,0,0,N
1,src/java/jmx/org/apache/zookeeper/jmx/server/quorum/FollowerBean.java,26,7,2,40,34,26,11,184,28,26.0,327,159,109,N
1,src/java/jmx/org/apache/zookeeper/jmx/server/quorum/FollowerMXBean.java,23,7,2,38,32,24,11,170,26,24.0,327,159,109,N
1,src/java/jmx/org/apache/zookeeper/jmx/server/quorum/LeaderBean.java,26,7,2,41,35,27,12,191,29,27.0,327,159,109,N
1,zookeeper-server/src/main/java/org/apache/zookeeper/server/quorum/LeaderElectionBean.java,35,7,2,57,50,41,13,289,43,41.0,0,0,0,N
1,zookeeper-server/src/main/java/org/apache/zookeeper/server/quorum/LeaderElectionMXBean.java,32,7,2,46,40,32,13,226,34,32.0,0,0,0,N
1,src/java/jmx/org/apache/zookeeper/jmx/server/quorum/LeaderMXBean.java,23,7,2,38,32,24,11,170,26,24.0,327,159,109,N
1,src/java/jmx/org/apache/zookeeper/jmx/server/quorum/LocalPeerBean.java,45,8,3,69,61,46,10,377,53,47.0,344,159,86,N
1,src/java/jmx/org/apache/zookeeper/jmx/server/quorum/LocalPeerMXBean.java,31,7,2,48,41,32,10,226,34,32.0,327,159,109,N
1,zookeeper-server/src/main/java/org/apache/zookeeper/server/quorum/QuorumBean.java,39,7,2,60,52,42,13,296,44,42.0,0,0,0,N
1,zookeeper-server/src/main/java/org/apache/zookeeper/server/quorum/QuorumMXBean.java,31,7,2,45,39,31,13,219,33,31.0,0,0,0,N
1,zookeeper-server/src/main/java/org/apache/zookeeper/server/quorum/RemotePeerBean.java,40,7,2,61,53,43,13,303,45,43.0,0,0,0,N
1,zookeeper-server/src/main/java/org/apache/zookeeper/server/quorum/RemotePeerMXBean.java,31,7,2,45,39,31,13,219,33,31.0,0,0,0,N
1,zookeeper-server/src/main/java/org/apache/zookeeper/server/quorum/ServerBean.java,33,7,2,52,45,36,11,254,38,36.0,0,0,0,N
1,zookeeper-server/src/main/java/org/apache/zookeeper/server/quorum/ServerMXBean.java,31,7,2,45,39,31,13,219,33,31.0,0,0,0,N
1,src/java/jmx/org/apache/zookeeper/server/ManagedZooKeeperServer.java,110,10,3,235,180,138,9,1343,140,134.0,416,159,69,N
1,src/java/jmx/org/apache/zookeeper/server/ManagedZooKeeperServerMain.java,73,3,2,93,86,80,22,238,80,79.0,89,38,30,N
1,src/java/jmx/org/apache/zookeeper/server/ObservableDataTree.java,103,8,3,145,130,111,22,894,115,112.0,344,159,86,N
1,src/java/jmx/org/apache/zookeeper/server/ObservableNIOServerCnxn.java,76,7,2,103,94,83,24,583,85,83.0,327,159,109,N
1,src/java/jmx/org/apache/zookeeper/server/ObservableZooKeeperServer.java,48,10,3,102,79,50,7,523,58,52.0,416,159,69,N
1,src/java/jmx/org/apache/zookeeper/server/ZooKeeperObserverNotifier.java,70,7,2,94,85,74,21,520,76,74.0,327,159,109,N
1,src/java/jmx/org/apache/zookeeper/server/quorum/ManagedQuorumPeer.java,204,11,3,405,315,243,11,2602,245,237.0,431,159,62,N
1,src/java/jmx/org/apache/zookeeper/server/quorum/ManagedQuorumPeerMain.java,124,4,2,194,163,142,14,531,142,133.0,104,38,26,N
1,src/java/jmx/org/apache/zookeeper/server/quorum/ObservableFollower.java,71,7,2,96,87,76,22,534,78,76.0,327,159,109,N
1,src/java/jmx/org/apache/zookeeper/server/quorum/ObservableFollowerZooKeeperServer.java,48,8,2,79,67,53,8,428,55,54.0,361,159,90,N
1,src/java/jmx/org/apache/zookeeper/server/quorum/ObservableLeader.java,74,7,2,100,91,80,23,562,82,80.0,327,159,109,N
1,src/java/jmx/org/apache/zookeeper/server/quorum/ObservableLeaderZooKeeperServer.java,47,8,2,79,67,53,8,428,55,54.0,361,159,90,N
1,src/java/jmx/org/apache/zookeeper/server/quorum/ObservableQuorumPeer.java,102,11,3,217,166,107,9,1213,121,110.0,431,159,62,N
1,src/java/jmx/org/apache/zookeeper/server/util/ConnectionObserver.java,35,7,2,52,45,36,11,254,38,36.0,327,159,109,N
1,src/java/jmx/org/apache/zookeeper/server/util/DataTreeObserver.java,50,7,2,69,61,51,15,359,53,51.0,327,159,109,N
1,src/java/jmx/org/apache/zookeeper/server/util/EventInfo.java,28,7,2,42,36,28,12,198,30,28.0,327,159,109,N
1,src/java/jmx/org/apache/zookeeper/server/util/ObservableComponent.java,32,7,2,46,40,32,13,226,34,32.0,327,159,109,N
1,src/java/jmx/org/apache/zookeeper/server/util/ObserverManager.java,90,7,2,107,101,93,34,653,95,93.0,327,159,109,N
1,src/java/jmx/org/apache/zookeeper/server/util/QuorumPeerObserver.java,66,7,2,87,78,67,20,471,69,67.0,327,159,109,N
1,src/java/jmx/org/apache/zookeeper/server/util/ServerObserver.java,35,7,2,52,45,36,11,254,38,36.0,327,159,109,N
1,src/java/jmx/org/apache/zookeeper/server/util/ZooKeeperObserverManager.java,56,7,2,81,71,59,18,415,61,59.0,327,159,109,N
1,zookeeper-jute/src/main/java/org/apache/jute/BinaryInputArchive.java,129,11,3,268,266,132,53,2630,264,239.0,0,0,0,N
1,zookeeper-jute/src/main/java/org/apache/jute/BinaryOutputArchive.java,143,12,4,323,310,148,31,3231,297,269.0,0,0,0,N
1,zookeeper-jute/src/main/java/org/apache/jute/CsvInputArchive.java,207,10,3,422,421,210,140,3990,420,399.0,0,0,0,N
1,zookeeper-jute/src/main/java/org/apache/jute/ToStringOutputArchive.java,147,12,5,310,305,149,38,3420,300,285.0,0,0,0,N
1,zookeeper-jute/src/main/java/org/apache/jute/Index.java,37,10,3,80,79,39,26,741,78,74.0,0,0,0,N
1,zookeeper-jute/src/main/java/org/apache/jute/InputArchive.java,42,10,3,92,91,45,30,855,90,86.0,0,0,0,N
1,zookeeper-jute/src/main/java/org/apache/jute/OutputArchive.java,44,11,4,107,102,49,17,1020,98,93.0,0,0,0,N
1,zookeeper-jute/src/main/java/org/apache/jute/Record.java,30,10,3,68,67,33,22,627,66,63.0,0,0,0,N
1,zookeeper-jute/src/main/java/org/apache/jute/RecordReader.java,94,10,3,198,197,98,66,1862,196,186.0,0,0,0,N
1,zookeeper-jute/src/main/java/org/apache/jute/RecordWriter.java,113,10,3,236,235,117,78,2223,234,222.0,0,0,0,N
1,zookeeper-jute/src/main/java/org/apache/jute/Utils.java,274,11,4,560,557,276,139,5798,554,527.0,0,0,0,N
1,zookeeper-jute/src/main/java/org/apache/jute/XmlInputArchive.java,247,10,3,504,503,251,168,4769,502,477.0,0,0,0,N
1,zookeeper-jute/src/main/java/org/apache/jute/XmlOutputArchive.java,247,11,4,515,510,253,73,5304,506,482.0,0,0,0,N
1,zookeeper-jute/src/main/java/org/apache/jute/compiler/CGenerator.java,84,11,3,184,178,84,15,1591,172,145.0,0,0,0,N
1,zookeeper-jute/src/main/java/org/apache/jute/compiler/CppGenerator.java,80,11,3,170,166,79,21,1663,162,151.0,0,0,0,N
1,zookeeper-jute/src/main/java/org/apache/jute/compiler/JBoolean.java,41,11,3,90,88,43,22,860,86,78.0,0,0,0,N
1,zookeeper-jute/src/main/java/org/apache/jute/compiler/JBuffer.java,105,10,3,228,221,107,28,2033,214,203.0,0,0,0,N
1,zookeeper-jute/src/main/java/org/apache/jute/compiler/JByte.java,33,10,3,72,71,35,24,665,70,67.0,0,0,0,N
