Index;Version ID;Version Name;Date
1;null;3.0.0;2008-10-27T00:00
2;null;3.0.1;2008-12-04T00:00
3;null;3.1.0;2009-02-13T00:00
4;null;3.1.1;2009-03-27T00:00
5;null;3.2.0;2009-07-08T00:00
6;null;3.2.1;2009-09-04T00:00
7;null;3.2.2;2009-12-14T00:00
8;null;3.3.0;2010-03-25T00:00
9;null;3.3.1;2010-05-17T00:00
10;null;3.3.2;2010-11-11T00:00
11;null;3.3.3;2011-02-27T00:00
12;null;3.4.0;2011-11-22T00:00
13;null;3.3.4;2011-11-26T00:00
14;null;3.4.1;2011-12-16T00:00
15;null;3.4.2;2011-12-29T00:00
16;null;3.4.3;2012-02-13T00:00
17;null;3.3.5;2012-03-20T00:00
18;null;3.3.6;2012-08-02T00:00
19;null;3.4.4;2012-09-23T00:00
20;null;3.4.5;2012-11-18T00:00
21;null;3.4.6;2014-03-10T00:00
22;null;3.5.0;2014-08-04T00:00
23;null;3.5.1;2015-09-02T00:00
24;null;3.4.7;2015-12-03T00:00
25;null;3.4.8;2016-02-22T00:00
26;null;3.5.2;2016-07-21T00:00
27;null;3.4.9;2016-09-03T00:00
28;null;3.4.10;2017-03-30T00:00
29;null;3.5.3;2017-04-17T00:00
30;null;3.4.11;2017-11-09T00:00
31;null;3.4.12;2018-05-01T00:00
32;null;3.5.4;2018-05-17T00:00
33;null;3.4.13;2018-07-17T00:00
34;null;3.4.14;2019-04-02T00:00
35;null;3.5.5;2019-05-20T00:00
36;null;3.5.6;2019-10-17T00:00
37;null;3.5.7;2020-02-14T00:00
38;null;3.6.1;2020-04-30T00:00
39;null;3.5.8;2020-05-11T00:00
