Dataset,#TrainingRelease,%Training,%DefectiveTraining,%DefectiveTesting,Classifier,Balancing,FeatureSelection,TP,FP,TN,FN,Precision,Recall,AUC,Kappa
zookeeper,1,2.98,3.17,3.12,Random Forest,Under Sampling,Best First,1,14,172,5,0.07,0.17,0.77,0.05
zookeeper,1,2.98,3.17,3.12,Naive Bayes,No,No,2,0,186,4,1,0.33,0.94,0.49
zookeeper,1,2.98,3.17,3.12,Naive Bayes,Under Sampling,No,2,1,185,4,0.67,0.33,0.94,0.43
zookeeper,1,2.98,3.17,3.12,Naive Bayes,Over Sampling,No,2,0,186,4,1,0.33,0.98,0.49
zookeeper,1,2.98,3.17,3.12,Naive Bayes,SMOTE,No,2,0,186,4,1,0.33,0.94,0.49
zookeeper,1,2.98,3.17,3.12,Naive Bayes,No,Best First,1,0,186,5,1,0.17,0.84,0.28
zookeeper,1,2.98,3.17,3.12,Naive Bayes,Over Sampling,Best First,2,2,184,4,0.5,0.33,0.84,0.38
zookeeper,1,2.98,3.17,3.12,IBk,No,No,2,0,186,4,1,0.33,0.71,0.49
zookeeper,1,2.98,3.17,3.12,IBk,Under Sampling,No,2,0,186,4,1,0.33,0.67,0.49
zookeeper,1,2.98,3.17,3.12,IBk,Over Sampling,No,2,0,186,4,1,0.33,0.7,0.49
zookeeper,1,2.98,3.17,3.12,IBk,SMOTE,No,3,0,186,3,1,0.5,0.78,0.66
zookeeper,1,2.98,3.17,3.12,IBk,Under Sampling,Best First,2,6,180,4,0.25,0.33,0.65,0.26
zookeeper,2,6.01,3.15,2.63,Random Forest,No,No,6,0,222,0,1,1,1,1
zookeeper,2,6.01,3.15,2.63,Random Forest,Under Sampling,No,6,21,201,0,0.22,1,1,0.34
zookeeper,2,6.01,3.15,2.63,Random Forest,Over Sampling,No,6,6,216,0,0.5,1,1,0.65
zookeeper,2,6.01,3.15,2.63,Random Forest,SMOTE,No,6,0,222,0,1,1,1,1
zookeeper,2,6.01,3.15,2.63,Random Forest,No,Best First,4,7,215,2,0.36,0.67,0.98,0.45
zookeeper,2,6.01,3.15,2.63,Random Forest,Under Sampling,Best First,6,49,173,0,0.11,1,0.95,0.16
zookeeper,2,6.01,3.15,2.63,Random Forest,Over Sampling,Best First,6,10,212,0,0.38,1,0.99,0.53
zookeeper,2,6.01,3.15,2.63,Random Forest,SMOTE,Best First,4,11,211,2,0.27,0.67,0.97,0.36
zookeeper,2,6.01,3.15,2.63,Naive Bayes,No,No,5,6,216,1,0.45,0.83,0.98,0.57
zookeeper,2,6.01,3.15,2.63,Naive Bayes,Under Sampling,No,2,1,221,4,0.67,0.33,0.98,0.43
zookeeper,2,6.01,3.15,2.63,Naive Bayes,Over Sampling,No,5,5,217,1,0.5,0.83,0.99,0.61
zookeeper,2,6.01,3.15,2.63,Naive Bayes,SMOTE,No,5,6,216,1,0.45,0.83,0.98,0.57
zookeeper,2,6.01,3.15,2.63,Naive Bayes,No,Best First,2,6,216,4,0.25,0.33,0.88,0.26
zookeeper,2,6.01,3.15,2.63,Naive Bayes,Under Sampling,Best First,5,27,195,1,0.16,0.83,0.89,0.23
zookeeper,2,6.01,3.15,2.63,Naive Bayes,Over Sampling,Best First,5,20,202,1,0.2,0.83,0.87,0.29
zookeeper,2,6.01,3.15,2.63,Naive Bayes,SMOTE,Best First,2,7,215,4,0.22,0.33,0.88,0.24
zookeeper,2,6.01,3.15,2.63,IBk,No,No,6,0,222,0,1,1,1,1
zookeeper,2,6.01,3.15,2.63,IBk,Under Sampling,No,6,111,111,0,0.05,1,0.75,0.05
zookeeper,2,6.01,3.15,2.63,IBk,Over Sampling,No,6,3,219,0,0.67,1,1,0.79
zookeeper,2,6.01,3.15,2.63,IBk,SMOTE,No,6,0,222,0,1,1,1,1
zookeeper,2,6.01,3.15,2.63,IBk,No,Best First,3,2,220,3,0.6,0.5,0.8,0.53
zookeeper,2,6.01,3.15,2.63,IBk,Under Sampling,Best First,6,97,125,0,0.06,1,0.78,0.06
zookeeper,2,6.01,3.15,2.63,IBk,Over Sampling,Best First,3,10,212,3,0.23,0.5,0.77,0.29
zookeeper,2,6.01,3.15,2.63,IBk,SMOTE,Best First,5,10,212,1,0.33,0.83,0.91,0.46
zookeeper,3,9.61,2.96,2.63,Random Forest,No,No,6,0,222,0,1,1,1,1
zookeeper,3,9.61,2.96,2.63,Random Forest,Under Sampling,No,6,15,207,0,0.29,1,1,0.42
zookeeper,3,9.61,2.96,2.63,Random Forest,Over Sampling,No,6,0,222,0,1,1,1,1
zookeeper,3,9.61,2.96,2.63,Random Forest,SMOTE,No,6,0,222,0,1,1,1,1
zookeeper,3,9.61,2.96,2.63,Random Forest,No,Best First,4,2,220,2,0.67,0.67,0.99,0.66
zookeeper,3,9.61,2.96,2.63,Random Forest,Under Sampling,Best First,6,47,175,0,0.11,1,0.95,0.16
zookeeper,3,9.61,2.96,2.63,Random Forest,Over Sampling,Best First,5,6,216,1,0.45,0.83,0.98,0.57
zookeeper,3,9.61,2.96,2.63,Random Forest,SMOTE,Best First,4,2,220,2,0.67,0.67,0.99,0.66
zookeeper,3,9.61,2.96,2.63,Naive Bayes,No,No,5,6,216,1,0.45,0.83,0.97,0.57
zookeeper,3,9.61,2.96,2.63,Naive Bayes,Under Sampling,No,5,11,211,1,0.31,0.83,0.95,0.43
zookeeper,3,9.61,2.96,2.63,Naive Bayes,Over Sampling,No,5,7,215,1,0.42,0.83,0.99,0.54
zookeeper,3,9.61,2.96,2.63,Naive Bayes,SMOTE,No,5,7,215,1,0.42,0.83,0.98,0.54
zookeeper,3,9.61,2.96,2.63,Naive Bayes,No,Best First,2,6,216,4,0.25,0.33,0.86,0.26
zookeeper,3,9.61,2.96,2.63,Naive Bayes,Under Sampling,Best First,4,9,213,2,0.31,0.67,0.87,0.4
zookeeper,3,9.61,2.96,2.63,Naive Bayes,Over Sampling,Best First,5,20,202,1,0.2,0.83,0.86,0.29
zookeeper,3,9.61,2.96,2.63,Naive Bayes,SMOTE,Best First,2,6,216,4,0.25,0.33,0.86,0.26
zookeeper,3,9.61,2.96,2.63,IBk,No,No,6,0,222,0,1,1,1,1
zookeeper,3,9.61,2.96,2.63,IBk,Under Sampling,No,6,46,176,0,0.12,1,0.9,0.17
zookeeper,3,9.61,2.96,2.63,IBk,Over Sampling,No,6,6,216,0,0.5,1,1,0.65
zookeeper,3,9.61,2.96,2.63,IBk,SMOTE,No,6,0,222,0,1,1,1,1
zookeeper,3,9.61,2.96,2.63,IBk,No,Best First,4,5,217,2,0.44,0.67,0.93,0.52
zookeeper,3,9.61,2.96,2.63,IBk,Under Sampling,Best First,6,48,174,0,0.11,1,0.86,0.16
zookeeper,3,9.61,2.96,2.63,IBk,Over Sampling,Best First,4,8,214,2,0.33,0.67,0.91,0.42
zookeeper,3,9.61,2.96,2.63,IBk,SMOTE,Best First,4,8,214,2,0.33,0.67,0.92,0.42
zookeeper,4,13.21,2.87,2.16,Random Forest,No,No,6,0,272,0,1,1,1,1
zookeeper,4,13.21,2.87,2.16,Random Forest,Under Sampling,No,6,36,236,0,0.14,1,1,0.22
zookeeper,4,13.21,2.87,2.16,Random Forest,Over Sampling,No,6,0,272,0,1,1,1,1
zookeeper,4,13.21,2.87,2.16,Random Forest,SMOTE,No,6,0,272,0,1,1,1,1
zookeeper,4,13.21,2.87,2.16,Random Forest,No,Best First,2,9,263,4,0.18,0.33,0.89,0.21
zookeeper,4,13.21,2.87,2.16,Random Forest,Under Sampling,Best First,6,48,224,0,0.11,1,0.97,0.17
zookeeper,4,13.21,2.87,2.16,Random Forest,Over Sampling,Best First,2,9,263,4,0.18,0.33,0.96,0.21
zookeeper,4,13.21,2.87,2.16,Random Forest,SMOTE,Best First,2,11,261,4,0.15,0.33,0.87,0.19
zookeeper,4,13.21,2.87,2.16,Naive Bayes,No,No,5,6,266,1,0.45,0.83,0.98,0.58
zookeeper,4,13.21,2.87,2.16,Naive Bayes,Under Sampling,No,2,5,267,4,0.29,0.33,0.96,0.29
zookeeper,4,13.21,2.87,2.16,Naive Bayes,Over Sampling,No,6,7,265,0,0.46,1,0.99,0.62
zookeeper,4,13.21,2.87,2.16,Naive Bayes,SMOTE,No,5,6,266,1,0.45,0.83,0.98,0.58
zookeeper,4,13.21,2.87,2.16,Naive Bayes,No,Best First,4,9,263,2,0.31,0.67,0.86,0.4
zookeeper,4,13.21,2.87,2.16,Naive Bayes,Under Sampling,Best First,5,25,247,1,0.17,0.83,0.86,0.25
zookeeper,4,13.21,2.87,2.16,Naive Bayes,Over Sampling,Best First,5,27,245,1,0.16,0.83,0.86,0.24
zookeeper,4,13.21,2.87,2.16,Naive Bayes,SMOTE,Best First,5,13,259,1,0.28,0.83,0.86,0.4
zookeeper,4,13.21,2.87,2.16,IBk,No,No,6,0,272,0,1,1,1,1
zookeeper,4,13.21,2.87,2.16,IBk,Under Sampling,No,6,152,120,0,0.04,1,0.72,0.03
zookeeper,4,13.21,2.87,2.16,IBk,Over Sampling,No,6,0,272,0,1,1,1,1
zookeeper,4,13.21,2.87,2.16,IBk,SMOTE,No,6,0,272,0,1,1,1,1
zookeeper,4,13.21,2.87,2.16,IBk,No,Best First,1,7,265,5,0.12,0.17,0.88,0.12
zookeeper,4,13.21,2.87,2.16,IBk,Under Sampling,Best First,6,51,221,0,0.11,1,0.9,0.16
zookeeper,4,13.21,2.87,2.16,IBk,Over Sampling,Best First,2,9,263,4,0.18,0.33,0.78,0.21
zookeeper,4,13.21,2.87,2.16,IBk,SMOTE,Best First,2,11,261,4,0.15,0.33,0.88,0.19
zookeeper,5,17.6,2.69,2.14,Random Forest,No,No,6,0,275,0,1,1,1,1
zookeeper,5,17.6,2.69,2.14,Random Forest,Under Sampling,No,6,14,261,0,0.3,1,1,0.44
zookeeper,5,17.6,2.69,2.14,Random Forest,Over Sampling,No,6,3,272,0,0.67,1,1,0.79
zookeeper,5,17.6,2.69,2.14,Random Forest,SMOTE,No,6,0,275,0,1,1,1,1
zookeeper,5,17.6,2.69,2.14,Random Forest,No,Best First,4,0,275,2,1,0.67,0.91,0.8
zookeeper,5,17.6,2.69,2.14,Random Forest,Under Sampling,Best First,6,80,195,0,0.07,1,0.93,0.09
zookeeper,5,17.6,2.69,2.14,Random Forest,Over Sampling,Best First,5,9,266,1,0.36,0.83,0.98,0.48
zookeeper,5,17.6,2.69,2.14,Random Forest,SMOTE,Best First,4,6,269,2,0.4,0.67,0.9,0.49
zookeeper,5,17.6,2.69,2.14,Naive Bayes,No,No,5,8,267,1,0.38,0.83,0.98,0.51
zookeeper,5,17.6,2.69,2.14,Naive Bayes,Under Sampling,No,2,9,266,4,0.18,0.33,0.95,0.21
zookeeper,5,17.6,2.69,2.14,Naive Bayes,Over Sampling,No,5,11,264,1,0.31,0.83,0.99,0.44
zookeeper,5,17.6,2.69,2.14,Naive Bayes,SMOTE,No,5,12,263,1,0.29,0.83,0.98,0.42
zookeeper,5,17.6,2.69,2.14,Naive Bayes,No,Best First,3,8,267,3,0.27,0.5,0.85,0.33
zookeeper,5,17.6,2.69,2.14,Naive Bayes,Under Sampling,Best First,5,32,243,1,0.14,0.83,0.84,0.2
zookeeper,5,17.6,2.69,2.14,Naive Bayes,Over Sampling,Best First,5,23,252,1,0.18,0.83,0.85,0.27
zookeeper,5,17.6,2.69,2.14,Naive Bayes,SMOTE,Best First,4,9,266,2,0.31,0.67,0.85,0.4
zookeeper,5,17.6,2.69,2.14,IBk,No,No,6,0,275,0,1,1,1,1
zookeeper,5,17.6,2.69,2.14,IBk,Under Sampling,No,6,148,127,0,0.04,1,0.73,0.04
zookeeper,5,17.6,2.69,2.14,IBk,Over Sampling,No,6,2,273,0,0.75,1,1,0.85
zookeeper,5,17.6,2.69,2.14,IBk,SMOTE,No,6,0,275,0,1,1,1,1
zookeeper,5,17.6,2.69,2.14,IBk,No,Best First,3,7,268,3,0.3,0.5,0.93,0.36
zookeeper,5,17.6,2.69,2.14,IBk,Under Sampling,Best First,6,87,188,0,0.06,1,0.81,0.08
zookeeper,5,17.6,2.69,2.14,IBk,Over Sampling,Best First,4,10,265,2,0.29,0.67,0.9,0.38
zookeeper,5,17.6,2.69,2.14,IBk,SMOTE,Best First,4,9,266,2,0.31,0.67,0.93,0.4
zookeeper,6,22.03,2.58,2.83,Random Forest,No,No,6,0,275,2,1,0.75,0.85,0.85
zookeeper,6,22.03,2.58,2.83,Random Forest,Under Sampling,No,6,20,255,2,0.23,0.75,0.97,0.32
zookeeper,6,22.03,2.58,2.83,Random Forest,Over Sampling,No,6,2,273,2,0.75,0.75,0.8,0.74
zookeeper,6,22.03,2.58,2.83,Random Forest,SMOTE,No,6,0,275,2,1,0.75,0.78,0.85
zookeeper,6,22.03,2.58,2.83,Random Forest,No,Best First,3,1,274,5,0.75,0.38,0.86,0.49
zookeeper,6,22.03,2.58,2.83,Random Forest,Under Sampling,Best First,7,27,248,1,0.21,0.88,0.96,0.3
zookeeper,6,22.03,2.58,2.83,Random Forest,Over Sampling,Best First,5,4,271,3,0.56,0.62,0.86,0.58
zookeeper,6,22.03,2.58,2.83,Random Forest,SMOTE,Best First,6,3,272,2,0.67,0.75,0.86,0.7
zookeeper,6,22.03,2.58,2.83,Naive Bayes,No,No,5,9,266,3,0.36,0.62,0.95,0.43
zookeeper,6,22.03,2.58,2.83,Naive Bayes,Under Sampling,No,6,21,254,2,0.22,0.75,0.95,0.31
zookeeper,6,22.03,2.58,2.83,Naive Bayes,Over Sampling,No,6,19,256,2,0.24,0.75,0.93,0.34
zookeeper,6,22.03,2.58,2.83,Naive Bayes,SMOTE,No,5,10,265,3,0.33,0.62,0.95,0.41
zookeeper,6,22.03,2.58,2.83,Naive Bayes,No,Best First,3,8,267,5,0.27,0.38,0.86,0.29
zookeeper,6,22.03,2.58,2.83,Naive Bayes,Under Sampling,Best First,6,25,250,2,0.19,0.75,0.84,0.28
zookeeper,6,22.03,2.58,2.83,Naive Bayes,Over Sampling,Best First,6,24,251,2,0.2,0.75,0.86,0.28
zookeeper,6,22.03,2.58,2.83,Naive Bayes,SMOTE,Best First,4,9,266,4,0.31,0.5,0.86,0.36
zookeeper,6,22.03,2.58,2.83,IBk,No,No,6,0,275,2,1,0.75,0.88,0.85
zookeeper,6,22.03,2.58,2.83,IBk,Under Sampling,No,7,32,243,1,0.18,0.88,0.88,0.26
zookeeper,6,22.03,2.58,2.83,IBk,Over Sampling,No,6,2,273,2,0.75,0.75,0.8,0.74
zookeeper,6,22.03,2.58,2.83,IBk,SMOTE,No,6,0,275,2,1,0.75,0.88,0.85
zookeeper,6,22.03,2.58,2.83,IBk,No,Best First,3,1,274,5,0.75,0.38,0.89,0.49
zookeeper,6,22.03,2.58,2.83,IBk,Under Sampling,Best First,8,59,216,0,0.12,1,0.87,0.17
zookeeper,6,22.03,2.58,2.83,IBk,Over Sampling,Best First,5,5,270,3,0.5,0.62,0.87,0.54
zookeeper,6,22.03,2.58,2.83,IBk,SMOTE,Best First,5,3,272,3,0.62,0.62,0.91,0.61
zookeeper,7,26.5,2.62,3.46,Random Forest,No,No,7,0,335,5,1,0.58,0.93,0.73
zookeeper,7,26.5,2.62,3.46,Random Forest,Under Sampling,No,9,34,301,3,0.21,0.75,0.89,0.29
zookeeper,7,26.5,2.62,3.46,Random Forest,Over Sampling,No,8,2,333,4,0.8,0.67,0.89,0.72
zookeeper,7,26.5,2.62,3.46,Random Forest,SMOTE,No,7,0,335,5,1,0.58,0.92,0.73
zookeeper,7,26.5,2.62,3.46,Random Forest,No,Best First,2,3,332,10,0.4,0.17,0.78,0.22
zookeeper,7,26.5,2.62,3.46,Random Forest,Under Sampling,Best First,10,39,296,2,0.2,0.83,0.84,0.29
zookeeper,7,26.5,2.62,3.46,Random Forest,Over Sampling,Best First,6,4,331,6,0.6,0.5,0.78,0.53
zookeeper,7,26.5,2.62,3.46,Random Forest,SMOTE,Best First,3,5,330,9,0.38,0.25,0.73,0.28
zookeeper,7,26.5,2.62,3.46,Naive Bayes,No,No,7,8,327,5,0.47,0.58,0.96,0.5
zookeeper,7,26.5,2.62,3.46,Naive Bayes,Under Sampling,No,5,9,326,7,0.36,0.42,0.94,0.36
zookeeper,7,26.5,2.62,3.46,Naive Bayes,Over Sampling,No,9,19,316,3,0.32,0.75,0.97,0.42
zookeeper,7,26.5,2.62,3.46,Naive Bayes,SMOTE,No,7,9,326,5,0.44,0.58,0.95,0.48
zookeeper,7,26.5,2.62,3.46,Naive Bayes,No,Best First,5,9,326,7,0.36,0.42,0.87,0.36
zookeeper,7,26.5,2.62,3.46,Naive Bayes,Under Sampling,Best First,7,26,309,5,0.21,0.58,0.87,0.27
zookeeper,7,26.5,2.62,3.46,Naive Bayes,Over Sampling,Best First,7,28,307,5,0.2,0.58,0.87,0.26
zookeeper,7,26.5,2.62,3.46,Naive Bayes,SMOTE,Best First,6,9,326,6,0.4,0.5,0.87,0.42
zookeeper,7,26.5,2.62,3.46,IBk,No,No,8,0,335,4,1,0.67,0.83,0.79
zookeeper,7,26.5,2.62,3.46,IBk,Under Sampling,No,8,72,263,4,0.1,0.67,0.73,0.12
zookeeper,7,26.5,2.62,3.46,IBk,Over Sampling,No,8,1,334,4,0.89,0.67,0.8,0.75
zookeeper,7,26.5,2.62,3.46,IBk,SMOTE,No,8,0,335,4,1,0.67,0.83,0.79
zookeeper,7,26.5,2.62,3.46,IBk,No,Best First,0,3,332,12,0,0,0.86,-0.01
zookeeper,7,26.5,2.62,3.46,IBk,Under Sampling,Best First,9,38,297,3,0.19,0.75,0.82,0.26
zookeeper,7,26.5,2.62,3.46,IBk,Over Sampling,Best First,5,6,329,7,0.45,0.42,0.86,0.42
zookeeper,7,26.5,2.62,3.46,IBk,SMOTE,Best First,2,4,331,10,0.33,0.17,0.87,0.2
zookeeper,8,31.98,2.76,3.39,Random Forest,No,No,8,0,342,4,1,0.67,1,0.79
zookeeper,8,31.98,2.76,3.39,Random Forest,Under Sampling,No,11,26,316,1,0.3,0.92,0.98,0.42
zookeeper,8,31.98,2.76,3.39,Random Forest,Over Sampling,No,11,1,341,1,0.92,0.92,0.99,0.91
zookeeper,8,31.98,2.76,3.39,Random Forest,SMOTE,No,8,0,342,4,1,0.67,1,0.79
zookeeper,8,31.98,2.76,3.39,Random Forest,No,Best First,7,1,341,5,0.88,0.58,0.91,0.69
zookeeper,8,31.98,2.76,3.39,Random Forest,Under Sampling,Best First,11,50,292,1,0.18,0.92,0.93,0.26
zookeeper,8,31.98,2.76,3.39,Random Forest,Over Sampling,Best First,10,13,329,2,0.43,0.83,0.9,0.55
zookeeper,8,31.98,2.76,3.39,Random Forest,SMOTE,Best First,8,5,337,4,0.62,0.67,0.91,0.63
zookeeper,8,31.98,2.76,3.39,Naive Bayes,No,No,7,9,333,5,0.44,0.58,0.97,0.48
zookeeper,8,31.98,2.76,3.39,Naive Bayes,Under Sampling,No,5,1,341,7,0.83,0.42,0.97,0.55
zookeeper,8,31.98,2.76,3.39,Naive Bayes,Over Sampling,No,12,13,329,0,0.48,1,0.99,0.63
zookeeper,8,31.98,2.76,3.39,Naive Bayes,SMOTE,No,8,11,331,4,0.42,0.67,0.97,0.5
zookeeper,8,31.98,2.76,3.39,Naive Bayes,No,Best First,7,14,328,5,0.33,0.58,0.86,0.4
zookeeper,8,31.98,2.76,3.39,Naive Bayes,Under Sampling,Best First,10,56,286,2,0.15,0.83,0.83,0.21
