Release;Filename;LOC;NR;nAuth;locTouched;locAdded;max_locAdded;avg_locAdded;churn;max_churn;avg_churn;chgSetSize;max_chgSetSize;avg_chgSetSize;Buggy
1;bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java;121;4;4;333;235;235;171.0;137;137;171.0;229;229;92.0;N
1;bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java;215;5;5;436;340;340;297.0;244;253;297.0;301;301;117.0;N
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java;950;14;14;921;701;701;354.0;481;481;354.0;840;840;290.0;Y
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieException.java;78;3;3;69;40;40;19.0;11;11;19.0;131;131;44.0;Y
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BufferedChannel.java;170;4;4;42;27;27;12.0;12;12;12.0;203;203;70.0;N
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java;441;9;9;308;146;146;37.0;-16;45;37.0;431;431;125.0;Y
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java;185;5;5;92;86;86;42.0;80;80;42.0;281;281;103.0;Y
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java;516;7;7;155;85;85;41.0;15;20;41.0;410;410;157.0;Y
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java;132;5;5;54;35;35;16.0;16;16;16.0;226;226;66.0;Y
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java;152;3;3;20;13;13;7.0;6;6;7.0;124;124;40.0;N
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java;124;1;1;0;0;0;0.0;0;0;0.0;0;0;0.0;N
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/AsyncCallback.java;123;5;5;275;143;143;82.0;11;13;82.0;267;267;99.0;N
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BKException.java;241;4;4;40;31;31;12.0;22;22;12.0;197;197;65.0;Y
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeper.java;495;9;9;1122;630;630;412.0;138;138;412.0;453;453;142.0;Y
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java;694;6;6;1134;931;931;833.0;728;805;833.0;241;241;93.0;Y
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookieWatcher.java;174;4;4;15;8;8;4.0;1;1;4.0;217;217;82.0;N
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/CRC32DigestManager.java;42;2;2;6;3;3;2.0;0;0;2.0;78;78;30.0;N
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/DigestManager.java;148;5;5;45;23;23;12.0;1;1;12.0;283;283;103.0;Y
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/DistributionSchedule.java;55;3;3;10;5;5;3.0;0;0;3.0;143;143;51.0;Y
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerCreateOp.java;139;8;8;96;43;43;27.0;-10;2;27.0;401;401;120.0;Y
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerDeleteOp.java;71;4;4;23;12;12;6.0;1;1;6.0;165;165;49.0;N
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerEntry.java;71;3;3;99;50;50;19.0;1;1;19.0;127;127;42.0;N
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerHandle.java;674;12;12;1615;915;915;603.0;215;220;603.0;681;681;229.0;Y
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerMetadata.java;215;7;7;130;90;90;37.0;50;52;37.0;353;353;111.0;Y
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerOpenOp.java;153;9;9;155;92;92;46.0;29;30;46.0;495;495;163.0;Y
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerRecoveryOp.java;167;6;6;74;46;46;23.0;18;18;23.0;347;347;125.0;Y
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/MacDigestManager.java;53;4;4;18;9;9;5.0;0;0;5.0;241;241;98.0;N
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/PendingAddOp.java;141;4;4;61;44;44;18.0;27;27;18.0;180;180;56.0;Y
